"","default","student","balance","income"
"59","No","No","1332.5226438669","39143.137069018"
"60","No","No","492.07976781541","33379.094602839"
"61","No","No","766.23437930389","46478.294256952"
"62","No","No","690.12724619999","63432.984254467"
"63","No","No","0","32481.540046115"
"64","No","No","1480.6553092627","36866.157068685"
"65","No","No","989.0555969753","45344.251320265"
"66","No","No","1302.3418351686","33695.426233264"
"67","No","No","1044.5523432847","54696.765981623"
"68","No","No","0","43658.227723996"
"69","No","No","866.02843636799","38363.421634712"
"70","No","No","690.80079235413","48140.471335995"
"71","No","No","597.75714201706","31577.615125568"
"72","No","No","429.48540230628","51311.218101023"
"73","No","No","1398.1562014833","39644.94219319"
"74","No","Yes","1578.0640985399","19886.493951517"
"75","No","No","857.06905313424","26655.688965375"
"76","No","Yes","752.45994595881","16211.275788183"
"77","No","Yes","774.73842696393","15193.733135525"
"78","No","No","728.37325130259","45131.718264691"
"79","No","No","76.991290529907","28392.093412285"
"80","No","No","196.45691313618","41346.78591324"
"81","No","Yes","948.74791838862","14297.619048551"
"82","No","No","431.92088530418","39369.881563101"
"83","No","No","461.63818223378","46221.211494823"
"84","No","No","572.0157602306","33046.312957503"
"85","No","No","335.56814473318","51258.444229962"
"86","No","No","510.23759315638","60397.718648695"
"87","No","Yes","1005.1613055558","24038.652043312"
"88","No","Yes","162.45445108656","13241.752060076"
"89","No","No","932.53315568233","50537.46564846"
"90","No","Yes","893.33046761228","11905.681792548"
"91","No","No","1332.7825635257","44495.162762905"
"92","No","No","1404.3830694522","35043.106028674"
"93","No","Yes","1148.9651391593","16578.192118473"
"94","No","No","368.22342572054","57596.825843194"
"95","No","No","449.46662876927","45950.666723869"
"96","No","No","820.01711257842","51584.657318383"
"97","No","Yes","619.75186857559","15750.622083422"
"98","No","No","1047.7181240096","46416.970994242"
"99","No","No","243.84132832576","47193.888130971"
"100","No","No","186.50038693149","45430.550271094"
"101","No","No","1422.0184875758","38224.031521497"
"102","No","No","383.79865900567","61425.286388114"
"103","No","No","1159.4350960886","45802.104938691"
"104","No","No","882.99191255185","17181.737966382"
"105","No","No","1463.2328916109","65457.854187582"
"106","No","Yes","1722.3558462831","19311.422940804"
"107","No","Yes","773.92186125773","14558.912138383"
"108","No","No","958.16941846899","32816.284795642"
"109","No","No","1207.5327301495","68037.575126178"
"110","No","No","1056.6108304963","30546.601034377"
"111","No","No","117.64248393178","46550.267270596"
"112","No","No","596.964119237","58088.360451265"
"113","No","No","0","47729.625758197"
"114","No","Yes","541.66275532446","16335.703440602"
"115","No","No","1119.1783034181","45020.019121701"
"116","No","Yes","810.32093646984","20498.66581411"
"117","No","No","271.55143774701","32850.120144808"
"118","No","No","1114.4032365043","47714.022108458"
"119","No","No","867.03082805356","33540.979984811"
"120","No","Yes","1176.7894016772","17632.712103849"
"121","No","No","610.2278186614","42465.362964068"
"122","No","No","272.61566171554","55449.33864064"
"123","No","No","449.73508583686","49643.426441668"
"124","No","Yes","827.76720940032","10673.526225392"
"125","No","No","430.0000994499","33925.219597674"
"126","No","No","0","31825.764971921"
"127","No","Yes","1557.3446366823","18404.594189222"
"128","No","No","928.23696626148","33722.158941568"
"129","No","No","1373.4501632893","49101.79821419"
"130","No","Yes","951.07290749998","18601.533237494"
"131","No","Yes","1292.2108685054","23065.850975377"
"132","No","No","582.18870070656","24760.795733056"
"133","No","Yes","339.42463828091","19307.98029025"
"134","No","No","409.98232460877","44641.090118396"
"135","No","No","1216.4515095543","53639.846827384"
"136","No","No","598.46139212359","44124.268114644"
"137","Yes","Yes","1486.9981216002","17854.397028073"
"138","No","No","943.79633871376","59976.839867644"
"139","No","No","0","49525.745020849"
"140","No","Yes","996.27608676659","20883.240767624"
"141","No","Yes","748.30134036126","11248.670752735"
"142","No","No","324.73792178203","15411.518567294"
"143","No","Yes","575.38215848951","16005.681319006"
"144","No","No","441.73828492625","36012.235896455"
"145","No","No","1188.6421795529","39526.561265265"
"146","No","No","95.147680190405","51371.19991476"
"147","No","No","1015.614837484","43218.794375243"
"148","No","No","1258.5673927257","44931.674917746"
"149","No","Yes","1178.2444135285","7750.2892205592"
"150","No","No","731.53265625441","43956.060083973"
"151","No","No","350.08879213987","44455.199515036"
"152","No","No","418.84834543384","36901.78332812"
"153","No","No","533.22946518137","39393.542477275"
"154","No","No","95.296974128368","32359.389028429"
"155","No","Yes","1453.005932073","15933.002110982"
"156","No","No","352.64441403146","39404.744366476"
"157","No","Yes","736.2389354625","14107.993965338"
"158","No","No","1306.4845722752","41224.625024243"
"159","No","No","1149.145627179","45194.794662078"
"160","No","No","703.22689072154","57679.279142518"
"161","No","Yes","1360.8004354124","18864.308488668"
"162","No","No","31.445080544733","53287.350301315"
"163","No","No","988.21445806939","48570.363456633"
"164","No","No","360.01907358436","23927.546613391"
"165","No","No","647.48352861927","33226.277544678"
"166","No","Yes","0","9816.7894375576"
"167","No","No","445.2418192163","31974.624506898"
"168","No","Yes","878.54206450104","17496.741482196"
"169","No","Yes","335.83411857617","21759.870269695"
"170","No","No","666.60888143434","30438.468826627"
"171","No","No","813.87664701986","40737.45977661"
"172","No","No","836.30007162319","54607.178739544"
"173","No","No","967.48268368178","33055.11027233"
"174","Yes","Yes","2205.7995211483","14271.492252976"
"175","No","Yes","1258.1852191443","11672.22200334"
"176","No","No","1239.8016990846","40107.172210423"
"177","No","Yes","0","13760.298455687"
"178","No","Yes","927.88773226361","22473.379610954"
"179","No","Yes","1390.0307825189","21299.099226534"
"180","No","No","410.49770476795","53471.213630326"
"181","No","No","73.076542184657","30681.737535147"
"182","No","No","790.59775924737","45303.103314126"
"183","No","No","789.49509698382","32579.900205947"
"184","No","No","791.36042207874","46319.236119085"
"185","No","No","479.04237899036","37255.88033428"
"186","No","No","888.61327255021","28899.791751364"
"187","No","No","1284.3863605064","42831.9546194"
"188","No","Yes","712.27635128027","23341.950230243"
"189","No","Yes","1290.6201686492","18408.049081961"
"190","No","No","126.36268539906","44280.929788565"
"191","No","No","779.37625769565","61158.885112186"
"192","No","No","697.49095746378","49476.759599281"
"193","No","No","606.97461354831","43610.033017337"
"194","No","Yes","1802.9033335574","21411.423949025"
"195","No","No","900.0853325975","41276.563189499"
"196","No","No","966.28028796809","33440.979299777"
"197","No","No","671.06135963916","35689.111873911"
"198","No","No","171.55911595986","23505.992771323"
"199","No","No","1482.4803000632","45260.611597785"
"200","No","No","640.66275173247","46464.565932276"
"201","No","Yes","706.16102754199","18078.351792173"
"202","Yes","Yes","1774.6942230578","20359.506085567"
"203","No","No","916.49931692309","25768.407446721"
"204","No","No","1271.2708123604","36053.502950306"
"205","No","No","110.57290981198","47339.108751193"
"206","No","No","1747.2588815296","37819.28908602"
"207","Yes","No","1889.599189763","48956.171588568"
"208","No","No","27.201394650577","21051.84012597"
"209","No","No","746.22977505739","35159.850228879"
"210","Yes","Yes","1899.3906258472","20655.200003262"
"211","No","Yes","813.99456552535","20391.528948171"
"212","No","No","499.45781509464","38899.16046101"
"213","No","No","853.16133166086","36272.451783591"
"214","No","No","474.72731908829","32064.335105797"
"215","No","No","1235.8761134542","35838.777015359"
"216","No","No","620.6751525956","44213.770101262"
"217","No","No","220.02856976493","37880.02964716"
"218","No","Yes","1304.9142993183","18074.075415202"
"219","No","Yes","1608.1525598434","22358.046702011"
"220","No","No","256.47122755982","37657.0559168"
"221","No","Yes","1153.6049981538","19224.975229842"
"222","No","No","771.89587450852","31170.085283677"
"223","No","Yes","1099.6304221773","17064.042827958"
"224","No","No","782.88302966391","40357.133426602"
"225","No","No","444.26490617527","35924.338792927"
"226","No","No","504.02837873803","24780.961236921"
"227","No","No","1762.5034019882","42124.660067393"
"228","No","Yes","850.09611659646","18618.987907502"
"229","No","No","1412.2387213032","40785.059769421"
"230","No","No","715.49682958867","47482.56537673"
"231","No","No","1363.5285994213","55713.041607913"
"232","No","No","493.24188979939","42495.203084066"
"233","No","No","1354.7525372036","33375.131690378"
"234","No","Yes","571.29391101516","15416.269354686"
"235","No","No","956.15135218345","44086.707734231"
"236","No","No","964.82025298538","34390.746035057"
"237","No","No","552.63436602466","50513.164238435"
"238","No","No","338.26620164709","37767.239862893"
"239","No","No","709.12335135622","44041.630094108"
"240","No","No","978.97820041046","57839.053734374"
"241","No","No","371.01012781754","15702.707083036"
"242","Yes","Yes","1572.8564808236","14930.178330683"
"243","No","No","0","40150.217981059"
"244","Yes","No","1964.4768722528","39054.589144314"
"245","No","No","548.03778344249","33605.649468657"
"246","No","No","1257.0552216859","34045.008824724"
"247","No","No","1189.9180569742","38016.893902858"
"248","No","No","687.68375901487","39373.579746241"
"249","No","No","845.69896583853","39899.512680839"
"250","No","Yes","957.68483377014","19676.345649172"
"251","No","No","233.51684626705","43326.105379399"
"252","No","Yes","1126.9487439212","14298.264568673"
"253","No","Yes","488.85517654821","15159.494847534"
"254","No","No","767.9035597805","44323.579663801"
"255","No","No","561.9257991244","31388.505645416"
"256","No","Yes","1092.2700127725","17454.601839531"
"257","No","No","71.788683003582","31965.744714584"
"258","No","Yes","1839.1436819622","13625.397930367"
"259","No","Yes","876.00077790675","22474.574089824"
"260","No","No","554.10781153559","30357.025977163"
"261","No","No","891.31789805028","43945.041654141"
"262","No","No","464.8363330958","27324.899687073"
"263","No","Yes","563.54266110016","24082.039344103"
"264","Yes","No","1530.3531571461","30003.817151116"
"265","No","No","990.56702618629","41690.252622559"
"266","No","No","590.39978649876","42769.203880122"
"267","No","Yes","715.16410957428","21153.511008172"
"268","No","No","1540.3777266777","41852.078435824"
"269","No","No","1243.3265184083","41639.680381633"
"270","No","Yes","235.32849990888","20909.70475381"
"271","No","No","528.25432317043","49394.340774526"
"272","No","No","592.25389562288","30731.201603129"
"273","No","No","705.20497198624","42683.187243286"
"274","No","No","456.51564399061","48195.775837075"
"275","No","Yes","470.71757465281","18052.104999098"
"276","No","Yes","1503.0751298552","10600.413540323"
"277","No","No","1362.9655954038","44217.916035229"
"278","No","No","908.77157368794","45032.845985115"
"279","No","Yes","1096.8202721451","16148.060006606"
"280","No","No","369.22194247565","47835.091045314"
"281","No","No","673.39989904635","50256.290211872"
"282","No","No","1038.5000075215","51173.141376377"
"283","No","No","0","28762.923779748"
"284","No","No","527.19408657331","32431.118259604"
"285","No","No","817.4693368161","32974.427352431"
"286","No","Yes","1549.0427545174","19702.293205826"
"287","No","Yes","566.71378935163","11853.953166818"
"288","No","No","1496.0564648759","24935.918742096"
"289","No","No","862.65665641665","42844.834002342"
"290","No","No","1259.1494178926","31263.641081672"
"291","No","No","1025.0388330316","43510.049637858"
"292","No","Yes","703.27778710274","14793.742676689"
"293","No","Yes","1082.3914973459","15175.361214922"
"294","No","No","910.44902353363","44054.91642327"
"295","No","Yes","996.5438621608","16995.660404948"
"296","No","No","353.77822600897","58514.318076477"
"297","No","Yes","782.71082750063","13300.297468344"
"298","No","No","1716.5954182442","51056.868286798"
"299","No","Yes","502.89863835752","15153.965762645"
"300","No","No","1033.4684685052","59203.967663027"
"301","No","No","0","34925.365410101"
"302","No","Yes","1087.0834993683","19263.769581702"
"303","No","No","1047.2442488139","43899.759245119"
"304","No","No","1056.9273525241","38367.867946526"
"305","No","Yes","979.22442463286","26010.887803167"
"306","No","Yes","847.81870625307","15978.633625651"
"307","No","No","781.77128476306","50958.790513571"
"308","No","Yes","402.48888682595","15904.055920809"
"309","No","No","204.74018171458","17534.290539274"
"310","No","Yes","2022.6746432423","18336.74316845"
"311","No","No","748.93706378402","44186.617760264"
"312","No","No","838.27568775242","35917.490610239"
"313","No","No","386.01604929085","44694.030957029"
"314","No","No","812.39929652565","49623.100982091"
"315","No","Yes","1809.9265643936","6985.1359453954"
"316","No","No","0","30360.548943819"
"317","No","Yes","1328.1838041191","24688.473720934"
"318","No","Yes","1464.936048827","26716.686374683"
"319","No","No","1200.5651376474","39718.69265696"
"320","No","No","989.68641996443","27856.57706067"
"321","No","No","870.73457992578","35539.27021583"
"322","No","Yes","1200.8473900159","19849.831412949"
"323","No","Yes","1428.8320473614","23204.681461039"
"324","No","No","0","33951.288725924"
"325","No","Yes","359.4588665376","21783.269491336"
"326","No","No","265.68394978665","40862.754005626"
"327","No","No","1027.770531692","44406.83691434"
"328","No","No","729.04743349762","35042.132996998"
"329","No","No","1042.8049199139","25867.147716884"
"330","No","No","230.23058789877","37875.614823143"
"331","No","No","367.4660121832","30611.27227069"
"332","No","Yes","737.70535394131","20863.7996687"
"333","No","No","18.261285363545","30349.460422935"
"334","No","No","1257.7602088919","30834.771368274"
"335","No","No","455.5215132063","40907.398353765"
"336","No","No","56.967560350471","35458.481561421"
"337","No","Yes","723.93198529972","12213.037136841"
"338","No","No","612.38315767744","41379.767808261"
"339","No","Yes","1220.1776056907","15308.127071261"
"340","No","No","1222.3476917141","32363.371050585"
"341","No","No","1165.491138147","47684.219449749"
"342","Yes","No","1642.8199966383","46856.947039092"
"343","No","No","944.17356001778","56088.683799504"
"344","No","No","749.60800390067","41423.941173179"
"345","No","No","370.37518677767","31231.007837151"
"346","Yes","No","1991.649120113","42133.373175957"
"347","No","No","773.91522657686","44562.338116934"
"348","No","Yes","817.24981126239","20480.88705606"
"349","No","No","1060.7162196767","50260.464365917"
"350","Yes","No","1550.4492644131","56273.513608364"
"351","No","Yes","454.46696221294","15092.439307714"
"352","No","Yes","1256.2393254151","17784.558943752"
"353","No","No","1484.3953929752","36731.308694903"
"354","No","Yes","1050.4773279325","12661.611630991"
"355","No","No","986.40061892638","45430.472208942"
"356","No","No","717.34192695169","44266.376540179"
"357","No","No","692.14322268158","47038.090319694"
"358","Yes","No","1328.8927252178","34710.062365711"
"359","No","No","673.46819105608","32930.06936128"
"360","No","No","218.63929704309","48991.395379334"
"361","No","No","1218.1669658237","43954.277485698"
"362","No","Yes","13.516802550351","19322.545027052"
"363","No","Yes","531.47869985007","21726.558972624"
"364","No","No","165.53815169523","33436.455737741"
"365","No","Yes","1351.849722333","25890.5039885"
"366","No","No","107.28208304962","54143.962749817"
"367","No","No","947.19357138044","35604.117192781"
"368","No","Yes","434.56025922612","14812.645240377"
"369","No","No","1020.0672404886","37458.879249248"
"370","No","No","662.30531802232","31597.897616562"
"371","No","Yes","754.42061292096","20767.683020262"
"372","No","No","289.48957569336","44412.895103307"
"373","No","No","198.0384092297","36270.938120221"
"374","No","Yes","516.06049167658","16615.021962761"
"375","No","No","697.56380898979","41755.398146658"
"376","No","Yes","502.32478346778","16947.422934655"
"377","No","Yes","1459.6870830452","15575.419233378"
"378","No","No","716.99872268929","34418.260222849"
"379","No","Yes","1037.9727050178","18324.03005689"
"380","No","No","673.0161171961","29735.961597091"
"381","No","No","371.92178470125","41099.772441819"
"382","No","No","89.134957957223","55604.60753154"
"383","No","No","1273.2801810591","40895.282770324"
"384","No","No","600.72330296737","18680.516769028"
"385","No","No","905.03816463679","40711.798898247"
"386","No","No","1061.4415621445","54437.010317303"
"387","No","No","1672.6392483048","46334.787763344"
"388","No","Yes","883.70264560032","19750.094002873"
"389","No","No","373.78033000401","53936.241776994"
"390","No","No","1287.7951869379","52382.664704369"
"391","No","No","1229.742571479","48739.927390653"
"392","No","Yes","510.61384695432","22457.051747514"
"393","No","No","775.63016871681","27205.857393882"
"394","No","No","1152.9828868866","50206.576934159"
"395","No","Yes","1303.6625897017","7986.0003358345"
"396","No","No","1675.2788517321","28244.503475087"
"397","No","No","398.27773304463","30001.795060291"
"398","No","Yes","739.9017593968","25023.873856412"
"399","No","No","226.41769651402","32018.713630515"
"400","No","No","1217.3217121342","25173.619608049"
"401","No","No","639.82055824921","29902.001986779"
"402","No","Yes","883.16697688033","12717.492231299"
"403","No","No","2.2876109529974","38186.524272791"
"404","No","No","419.63734766587","55967.993167265"
"405","No","Yes","1544.1402498683","11102.534743731"
"406","No","No","1101.015017952","32153.01359267"
"407","Yes","No","1700.5999134866","30488.983410457"
"408","No","No","311.82458686811","48301.059660105"
"409","No","No","442.83022225268","55074.130829"
"410","No","No","728.81496006121","17909.581071593"
"411","No","No","278.87790252014","37188.668365085"
"412","No","No","758.70232753449","36625.989552339"
"413","No","No","620.33967943937","22803.74103384"
"414","No","Yes","1890.1674114753","18402.464884596"
"415","No","No","0","28951.451895157"
"416","No","Yes","1329.1988422159","23184.015548534"
"417","No","No","1075.8637723748","44128.628256404"
"418","No","No","618.52750922282","54956.990544662"
"419","No","No","1111.0865758202","27466.893682007"
"420","No","No","864.03974351854","45881.930205631"
"421","No","No","895.22980961462","48512.455641176"
"422","No","Yes","954.03043368861","21908.527156244"
"423","No","No","947.6349327409","46813.516308096"
"424","No","No","267.30372774401","23117.928673378"
"425","No","Yes","1366.8057832287","23913.208801308"
"426","No","No","624.73188350928","38325.173755364"
"427","No","No","13.67938266968","25221.637668779"
"428","No","No","785.8664856501","44778.015775677"
"429","No","Yes","1353.093845695","18933.49619497"
"430","No","No","480.32126391483","25553.262851519"
"431","No","No","0","29507.313246922"
"432","No","Yes","1221.9712429059","17916.856089489"
"433","No","Yes","1184.9365230234","25108.756711813"
"434","No","Yes","478.57205560482","27512.344899758"
"435","No","No","221.69046189336","34786.101351558"
"436","No","No","578.38762168767","41054.138661928"
"437","No","Yes","1361.4584324067","19576.957131992"
"438","No","Yes","977.84809560279","19731.960989719"
"439","No","No","1184.4252448815","36887.439966855"
"440","Yes","Yes","1118.7010394308","21848.442900006"
"441","Yes","No","1119.0972447607","37224.567813513"
"442","No","No","776.34997930737","31329.484850622"
"443","No","No","1322.2970910844","51792.402368709"
"444","No","No","878.02645759195","27438.585115052"
"445","No","No","1268.3795146773","16921.180879039"
"446","No","No","0","32611.373069262"
"447","No","No","0","37262.574093817"
"448","No","Yes","366.78695731406","25833.063098975"
"449","No","No","747.56103637787","39898.769085891"
"450","No","No","1787.285143726","37499.093547968"
"451","No","Yes","1929.4469802585","14995.49216849"
"452","No","No","987.14289095702","27961.319608534"
"453","No","Yes","856.35736842052","20758.214689172"
"454","No","No","1101.149707094","18153.844316595"
"455","No","No","704.1845199807","31515.981678805"
"456","No","No","555.62343667605","40837.731636085"
"457","No","No","1073.4982605984","44764.11054762"
"458","No","No","1126.2230230127","32842.65237196"
"459","No","Yes","649.77331856421","15708.296381203"
"460","No","No","977.6576209973","43743.496729849"
"461","No","No","1049.8899642061","42637.511063828"
"462","No","Yes","1383.5663330639","15764.345875927"
"463","No","Yes","1095.4657395796","14065.167568004"
"464","No","No","1089.3717909992","30224.596130462"
"465","No","No","605.22096830614","21792.321519972"
"466","No","No","1033.8853990166","49262.045329226"
"467","No","No","1604.7205537548","38186.985069539"
"468","No","No","826.32702593931","24679.715044052"
"469","No","Yes","1176.146823285","16670.680786277"
"470","No","Yes","1275.0231993874","19937.09803374"
"471","No","Yes","1290.2831400564","23538.944142291"
"472","No","No","1133.4741993193","51414.495955875"
"473","No","No","837.41256685528","37400.492884562"
"474","No","Yes","379.08216668841","18280.367033801"
"475","No","Yes","1134.166278498","12453.363592403"
"476","No","No","0","39120.084789899"
"477","No","No","1491.1748028047","59394.383078127"
"478","No","Yes","1695.3595856563","9582.9418971221"
"479","No","No","705.57332763872","54589.239868409"
"480","No","No","239.19336626568","33743.226552489"
"481","No","Yes","1183.7106414278","12428.614513925"
"482","No","No","898.76183891206","38267.08157841"
"483","No","Yes","1524.2904004493","11719.593479099"
"484","No","No","777.02373741804","35115.01855128"
"485","No","No","1394.7958191953","26074.934364367"
"486","No","Yes","0","20476.155724531"
"487","No","No","62.571575160183","47946.767093815"
"488","Yes","No","1981.4518153844","28127.895473313"
"489","No","No","514.05403477783","50053.261925801"
"490","No","No","722.78803895883","53714.186065152"
"491","No","No","152.86630415659","33716.8640608"
"492","No","No","293.18477285364","35390.287596712"
"493","No","No","0","38613.620496531"
"494","No","Yes","645.36685722913","17878.364311448"
"495","No","Yes","1515.1528330504","26046.77208311"
"496","No","Yes","767.43950548176","18846.489221234"
"497","No","Yes","491.87974705341","21715.226298099"
"498","No","No","0","41389.435272233"
"499","No","No","0","34589.488060188"
"500","No","No","509.15516410599","40132.659207194"
"501","No","Yes","965.58737008549","16440.099697519"
"502","No","Yes","1868.5400723075","20489.598107763"
"503","No","No","403.49720580419","41803.778162572"
"504","No","No","593.14362506876","37670.935024192"
"505","No","No","0","44547.865546592"
"506","No","No","742.29001588445","39367.19330813"
"507","No","Yes","1110.1004565319","13013.610567214"
"508","No","No","771.55129529782","49440.401294469"
"509","No","No","624.33889149758","42492.753068696"
"510","No","Yes","499.95722977935","22884.952565322"
"511","No","No","1088.6375203734","60650.036132318"
"512","No","No","1556.4919279677","49669.668873168"
"513","No","Yes","797.08433573141","23558.683082366"
"514","No","No","415.99250259786","38215.67804299"
"515","No","Yes","538.232681166","26833.039629783"
"516","No","Yes","1181.9347023996","21086.082007943"
"517","No","Yes","836.02068862707","9271.7899242311"
"518","No","No","104.44321507779","46928.005491171"
"519","No","No","564.20947857794","53196.623019422"
"520","No","Yes","804.53940215468","25091.460766251"
"521","No","No","1028.9536402333","21218.303519945"
"522","No","No","748.74658366766","8983.8569017719"
"523","No","No","66.632080734991","28735.974114941"
"524","No","No","452.80222889826","48034.237712597"
"525","No","Yes","798.46051011367","27724.065752851"
"526","No","Yes","1941.9029281417","23467.126966094"
"527","No","No","1446.1010119151","22996.432302065"
"528","No","No","761.06409829052","61580.034125346"
"529","No","No","1350.1727283575","43147.455583792"
"530","No","No","380.95020055996","36943.361994061"
"531","No","Yes","1602.849607094","15906.466797439"
"532","No","No","147.61011548848","37588.562609925"
"533","No","No","0","36283.080127105"
"534","No","Yes","733.07251237634","18818.167382096"
"535","No","Yes","1082.747976268","26096.337033935"
"536","No","No","779.65730031048","40804.475703375"
"537","No","No","994.15871217062","65254.07579615"
"538","No","No","769.18137412889","50070.781546168"
"539","No","Yes","684.09851909623","4985.1691133645"
"540","No","No","442.56330169432","27898.465394552"
"541","Yes","No","1717.0715925861","38408.890916727"
"542","No","No","0","36302.528437156"
"543","No","No","1092.345864854","44717.012577042"
"544","No","No","497.33495411576","35146.79877337"
"545","No","Yes","1149.6806549945","16907.70074413"
"546","Yes","No","1465.2101636433","58699.98319752"
"547","No","No","565.31760415706","41789.611001658"
"548","No","Yes","922.13789050244","12224.185170198"
"549","No","Yes","175.59938060484","11510.057867831"
"550","No","No","1024.9468188811","49675.560419035"
"551","No","No","596.88543230366","54091.624759736"
"552","No","No","750.41048420887","53084.907480663"
"553","No","Yes","790.87002743284","14183.9700258"
"554","No","No","112.32787249754","42386.048555043"
"555","No","Yes","738.39448731573","16093.284550688"
"556","No","No","1157.8555606887","54419.80856906"
"557","No","No","1213.2431492552","45149.516318112"
"558","No","No","1339.6262041855","41656.002892982"
"559","No","No","588.31243020357","56520.962510696"
"560","No","No","721.80813249982","56375.721987944"
"561","No","No","680.82071897343","43843.474117449"
"562","No","Yes","815.40657087349","12071.762499836"
"563","No","No","1042.5071120411","37170.109049284"
"564","No","Yes","663.24986812217","20454.616549329"
"565","No","Yes","1478.6185450644","18026.471098965"
"566","No","No","337.75675399428","33655.572434732"
"567","No","Yes","1273.5507196165","23126.636199114"
"568","No","No","114.17972587799","49562.989265344"
"569","No","No","0","52295.600929764"
"570","No","Yes","1516.3176892323","26377.59349392"
"571","No","Yes","898.11467310861","24164.751100741"
"572","No","No","790.59058211733","48219.594466575"
"573","No","No","0","29072.721493804"
"574","No","No","1273.2448303306","49136.474195868"
"575","No","No","1279.2004483305","36063.114108959"
"576","No","Yes","732.71938088897","14568.74740962"
"577","Yes","No","1763.5790878946","46227.074542136"
"578","No","Yes","1280.4184484249","16310.905526913"
"579","No","No","1529.9379953652","36912.89730157"
"580","No","Yes","345.46763647639","18251.494559289"
"581","No","No","197.98940375169","33723.985759164"
"582","Yes","Yes","1770.9694405265","15975.537196512"
"583","No","Yes","639.37194354107","17037.054799848"
"584","No","No","238.81464385707","23526.710906215"
"585","No","No","390.55584307674","45338.357214774"
"586","No","Yes","830.17151110698","19476.58757908"
"587","No","Yes","1378.8760756438","21613.578470166"
"588","No","No","242.40344931583","37364.423092759"
"589","No","No","1236.5474935522","36211.490361817"
"590","No","No","1063.7749366931","34914.275254552"
"591","No","No","126.92317897391","33819.143322066"
"592","No","No","758.46550126161","38018.145689664"
"593","No","No","908.93145864461","68758.878398895"
"594","No","No","558.51834241099","46297.425410894"
"595","No","No","1819.2423333921","36969.552515201"
"596","No","Yes","1110.6817440055","19327.575037927"
"597","No","No","723.24337466999","43459.011854298"
"598","No","No","972.0318640315","18510.946033198"
"599","No","No","696.01443064964","40741.420240333"
"600","No","Yes","1178.2489088753","29362.604609009"
"601","No","Yes","329.55851087706","19371.812091688"
"602","No","Yes","792.52923847283","14546.30176771"
"603","No","No","1246.037757696","33691.721309102"
"604","No","No","591.76077648154","41670.257382541"
"605","No","No","244.08113880079","24854.249823644"
"606","No","No","1038.5483600604","49944.86515065"
"607","No","No","679.07458679615","49488.563981513"
"608","No","No","1061.415836002","40585.221644698"
"609","No","Yes","1268.2406909193","11914.578268429"
"610","No","Yes","955.53368581979","14736.720879113"
"611","No","No","1115.8206296409","27882.809264398"
"612","No","Yes","601.16326061019","22029.193517156"
"613","No","No","1097.6000389451","52286.431822954"
"614","No","No","1042.7830726467","45982.966318529"
